"Variável";"Localidade";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Percentual da População Atendida com Água (%)";"Crixás";"82,40";"82,8";"95,0";"96,70";"98,2";"98,5";"99,6";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Cromínia";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Cumari";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Damianópolis";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Damolândia";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Davinópolis";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Diorama";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Divinópolis de Goiás";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Doverlândia";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Edealina";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Edéia";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Estrela do Norte";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Faina";"[1]";"[1]";"[1]";"[1]";" [1] ";"[1]";"[1]";"[1]";"100";"[1]";"[1]"
"Percentual da População Atendida com Água (%)";"Fazenda Nova";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Firminópolis";"98,70";"95,9";"98,9";"98,90";"98,9";"98,9";"98,7";"98,7";"100";"98,65";"98,60"
"Percentual da População Atendida com Água (%)";"Flores de Goiás";"94,50";"95,1";"93,9";"93,10";"92,5";"91,3";"90,4";"89,2";"100";"83,79";"82,25"
"Percentual da População Atendida com Água (%)";"Formosa";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Formoso";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Gameleira de Goiás";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Goianápolis";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Goiandira";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Goianésia";"85,90";"88,1";"92,1";"94,80";"97,8";"97,8";"97,7";"97,8";"100";"97,8";"97,81"
"Percentual da População Atendida com Água (%)";"Goiânia";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Goianira";"98,30";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Goiás";"100,00";"100,0";"100,0";"100,00";"100";"100";"99,5";"99,6";"100";"99,63";"100"
"Percentual da População Atendida com Água (%)";"Goiatuba";"97,50";"99,3";"99,8";"99,80";"99,9";"0";"99,9";"99,9";"100";"99,95";"100"
"Percentual da População Atendida com Água (%)";"Gouvelândia";"87,70";"87,2";"87,5";"87,40";"89";"88,3";"87,8";"88,7";"100";"87,98";"88,47"
"Percentual da População Atendida com Água (%)";"Guapó";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
